ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
23,1,HM902,1.0,2025-02-07,"客户ID: HM902
客户公司: 中建创业科技有限公司虚拟现实
客户所在地: 颖市, 中国
产品信息: 三星 智能灯具 Max (类别: 智能灯具)
生产商: 三星智能家电
产品价格: 8307.4
评分: 1.0星
评价日期: 2025年02月07日
评价内容: ""坦白讲，这款三星 智能灯具 Max完全不符合预期。散热问题简直无法忍受。唯一值得称赞的可能就是外观设计还不错。已经申请退款了。""",159,智能灯具,三星 智能灯具 Max,中建创业科技有限公司虚拟现实
11,3,HA078,4.8,2025-02-06,"客户ID: HA078
客户公司: 天益传媒有限公司大数据分析
客户所在地: 明市, 中国
产品信息: 亚马逊 智能扫地机器人 Max (类别: 智能扫地机器人)
生产商: 亚马逊智能科技
产品价格: 4405.19
评分: 4.8星
评价日期: 2025年02月06日
评价内容: ""这款智能扫地机器人质量很好，操作简单。总体来说很满意。""",134,智能扫地机器人,亚马逊 智能扫地机器人 Max,天益传媒有限公司大数据分析
29,7,BV145,3.9,2024-12-10,"客户ID: BV145
客户公司: 凌颖信息传媒有限公司虚拟现实
客户所在地: 畅市, 中国
产品信息: 格力 智能净水器 Lite (类别: 智能净水器)
生产商: 格力智能电器
产品价格: 9954.01
评分: 3.9星
评价日期: 2024年12月10日
评价内容: ""这款产品优缺点都有，节能环保，但反应迟钝。""",123,智能净水器,格力 智能净水器 Lite,凌颖信息传媒有限公司虚拟现实
18,8,TK332,2.4,2024-12-01,"客户ID: TK332
客户公司: 图龙信息信息有限公司物联网
客户所在地: 峰县, 中国
产品信息: 海尔智慧家庭 智能插座 Ultra (类别: 智能插座)
生产商: 海尔智慧家庭
产品价格: 5770.67
评分: 2.4星
评价日期: 2024年12月01日
评价内容: ""个人认为，这款海尔智慧家庭 智能插座 Ultra性价比极低。连接稳定性简直无法忍受。唯一值得称赞的可能就是外观设计还不错。""",158,智能插座,海尔智慧家庭 智能插座 Ultra,图龙信息信息有限公司物联网
20,10,DF357,1.4,2024-11-11,"客户ID: DF357
客户公司: 凌颖信息传媒有限公司生物科技
客户所在地: 勇县, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 1.4星
评价日期: 2024年11月11日
评价内容: ""个人认为，这款亚马逊 智能净水器 Max质量太差。噪音控制简直无法忍受。已经申请退款了。""",144,智能净水器,亚马逊 智能净水器 Max,凌颖信息传媒有限公司生物科技
16,10,MH412,2.8,2024-10-28,"客户ID: MH412
客户公司: 创联世纪传媒有限公司智能科技
客户所在地: 文市, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 2.8星
评价日期: 2024年10月28日
评价内容: ""噪音控制问题很严重，完全不值这个价格。""",123,智能净水器,亚马逊 智能净水器 Max,创联世纪传媒有限公司智能科技
21,4,RD511,1.6,2024-07-10,"客户ID: RD511
客户公司: 趋势传媒有限公司移动应用开发
客户所在地: 林市, 中国
产品信息: 索尼 智能插座 Pro (类别: 智能插座)
生产商: 索尼智能科技
产品价格: 7338.19
评分: 1.6星
评价日期: 2024年07月10日
评价内容: ""老实讲，这款索尼 智能插座 Pro不推荐购买。使用不到一周就出现了损坏。已经申请退款了。""",140,智能插座,索尼 智能插座 Pro,趋势传媒有限公司移动应用开发
10,5,MH412,4.9,2024-06-12,"客户ID: MH412
客户公司: 创联世纪传媒有限公司智能科技
客户所在地: 文市, 中国
产品信息: 索尼 智能体重秤 Basic (类别: 智能体重秤)
生产商: 索尼智能科技
产品价格: 2042.82
评分: 4.9星
评价日期: 2024年06月12日
评价内容: ""这款智能体重秤质量很好，反应灵敏。总体来说很满意。""",127,智能体重秤,索尼 智能体重秤 Basic,创联世纪传媒有限公司智能科技
6,1,JJ210,4.9,2024-05-20,"客户ID: JJ210
客户公司: 华成育卓传媒有限公司智能科技
客户所在地: 太原市, 中国
产品信息: 三星 智能灯具 Max (类别: 智能灯具)
生产商: 三星智能家电
产品价格: 8307.4
评分: 4.9星
评价日期: 2024年05月20日
评价内容: ""作为第一次购买这类产品的新手，这款智能灯具超出我的预期。最让我失望的是智能学习功能特别实用。比同事使用的同款要好。有点贵了，但质量确实好。""",170,智能灯具,三星 智能灯具 Max,华成育卓传媒有限公司智能科技
13,7,GI291,4.9,2024-05-07,"客户ID: GI291
客户公司: 飞利信科技有限公司云计算
客户所在地: 欣市, 中国
产品信息: 格力 智能净水器 Lite (类别: 智能净水器)
生产商: 格力智能电器
产品价格: 9954.01
评分: 4.9星
评价日期: 2024年05月07日
评价内容: ""在早晨起床时使用效果很好，特别是快速启动功能。""",123,智能净水器,格力 智能净水器 Lite,飞利信科技有限公司云计算
3,3,ZC483,1.1,2024-04-10,"客户ID: ZC483
客户公司: 和泰传媒有限公司物联网
客户所在地: 海燕市, 中国
产品信息: 亚马逊 智能扫地机器人 Max (类别: 智能扫地机器人)
生产商: 亚马逊智能科技
产品价格: 4405.19
评分: 1.1星
评价日期: 2024年04月10日
评价内容: ""作为一个经常使用此类产品的人，这款亚马逊 智能扫地机器人 Max不值这个价格。散热问题简直无法忍受。""",152,智能扫地机器人,亚马逊 智能扫地机器人 Max,和泰传媒有限公司物联网
5,4,HA078,2.9,2024-03-30,"客户ID: HA078
客户公司: 天益传媒有限公司大数据分析
客户所在地: 明市, 中国
产品信息: 索尼 智能插座 Pro (类别: 智能插座)
生产商: 索尼智能科技
产品价格: 7338.19
评分: 2.9星
评价日期: 2024年03月30日
评价内容: ""这款产品有严重问题，续航时间短，已经申请退款。""",122,智能插座,索尼 智能插座 Pro,天益传媒有限公司大数据分析
