OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
1,6,846.51,11,0.1,美的 智能音箱 Advanced,5个/套
2,9,3582.32,20,0.2,小米 智能手环 Mini,1台/件
3,3,6914.28,16,0.15,博世 智能音箱 Advanced,2个/包
3,9,3466.32,2,0.05,小米 智能手环 Mini,1台/件
4,3,6858.35,12,0.0,博世 智能音箱 Advanced,2个/包
5,4,7427.63,18,0.15,博世 智能洗衣机 Basic,1套/箱
5,5,5261.89,19,0.2,格力 智能马桶 Advanced,5个/套
5,6,863.48,3,0.05,美的 智能音箱 Advanced,5个/套
5,7,6523.98,1,0.0,苹果 智能门锁 Elite,5个/套
5,10,5959.87,5,0.2,松下 智能空调 Basic,3个/套
6,3,6975.37,5,0.1,博世 智能音箱 Advanced,2个/包
6,5,5013.41,20,0.15,格力 智能马桶 Advanced,5个/套
6,9,3445.7,12,0.1,小米 智能手环 Mini,1台/件
6,10,5981.19,16,0.05,松下 智能空调 Basic,3个/套
7,1,7037.87,11,0.2,华为 智能空气净化器 Basic,3个/套
7,4,8014.83,1,0.05,博世 智能洗衣机 Basic,1套/箱
7,5,5291.24,5,0.0,格力 智能马桶 Advanced,5个/套
7,6,864.91,10,0.15,美的 智能音箱 Advanced,5个/套
7,7,6461.22,8,0.0,苹果 智能门锁 Elite,5个/套
8,10,5693.19,6,0.05,松下 智能空调 Basic,3个/套
9,3,7027.38,6,0.05,博世 智能音箱 Advanced,2个/包
9,4,7868.4,3,0.1,博世 智能洗衣机 Basic,1套/箱
9,7,6334.94,4,0.2,苹果 智能门锁 Elite,5个/套
9,9,3444.33,5,0.2,小米 智能手环 Mini,1台/件
10,4,7985.31,19,0.05,博世 智能洗衣机 Basic,1套/箱
10,6,824.66,12,0.2,美的 智能音箱 Advanced,5个/套
11,5,5089.19,13,0.0,格力 智能马桶 Advanced,5个/套
11,6,880.84,7,0.1,美的 智能音箱 Advanced,5个/套
11,7,6514.59,14,0.1,苹果 智能门锁 Elite,5个/套
11,9,3575.44,9,0.0,小米 智能手环 Mini,1台/件
11,10,5907.58,10,0.0,松下 智能空调 Basic,3个/套
12,6,873.02,17,0.05,美的 智能音箱 Advanced,5个/套
13,1,7036.01,18,0.2,华为 智能空气净化器 Basic,3个/套
13,3,6822.83,11,0.0,博世 智能音箱 Advanced,2个/包
13,6,822.45,17,0.0,美的 智能音箱 Advanced,5个/套
13,7,6327.2,1,0.0,苹果 智能门锁 Elite,5个/套
13,10,5676.18,18,0.15,松下 智能空调 Basic,3个/套
14,1,6791.66,2,0.15,华为 智能空气净化器 Basic,3个/套
14,4,7941.63,15,0.1,博世 智能洗衣机 Basic,1套/箱
14,5,5251.83,15,0.0,格力 智能马桶 Advanced,5个/套
14,9,3413.4,11,0.05,小米 智能手环 Mini,1台/件
15,4,7423.75,5,0.05,博世 智能洗衣机 Basic,1套/箱
15,5,5068.02,15,0.0,格力 智能马桶 Advanced,5个/套
15,6,833.84,12,0.2,美的 智能音箱 Advanced,5个/套
16,2,6226.35,8,0.0,三星 智能门锁 Advanced,2个/包
16,3,7402.45,5,0.0,博世 智能音箱 Advanced,2个/包
16,5,4899.05,9,0.2,格力 智能马桶 Advanced,5个/套
16,7,6571.0,18,0.05,苹果 智能门锁 Elite,5个/套
16,10,6209.38,4,0.05,松下 智能空调 Basic,3个/套
17,4,7765.8,3,0.15,博世 智能洗衣机 Basic,1套/箱
17,7,6246.68,15,0.2,苹果 智能门锁 Elite,5个/套
17,9,3662.69,16,0.2,小米 智能手环 Mini,1台/件
18,1,7235.96,20,0.2,华为 智能空气净化器 Basic,3个/套
18,4,7861.92,10,0.15,博世 智能洗衣机 Basic,1套/箱
18,5,5238.07,5,0.15,格力 智能马桶 Advanced,5个/套
18,10,5797.78,8,0.0,松下 智能空调 Basic,3个/套
19,1,7269.48,5,0.0,华为 智能空气净化器 Basic,3个/套
19,5,4987.71,18,0.1,格力 智能马桶 Advanced,5个/套
19,6,823.21,10,0.1,美的 智能音箱 Advanced,5个/套
19,7,6591.99,8,0.0,苹果 智能门锁 Elite,5个/套
20,2,6014.7,4,0.2,三星 智能门锁 Advanced,2个/包
20,5,4800.1,11,0.2,格力 智能马桶 Advanced,5个/套
20,9,3432.91,18,0.05,小米 智能手环 Mini,1台/件
20,10,6216.91,9,0.1,松下 智能空调 Basic,3个/套
21,1,6659.16,1,0.0,华为 智能空气净化器 Basic,3个/套
21,3,7213.77,1,0.0,博世 智能音箱 Advanced,2个/包
21,6,863.27,15,0.15,美的 智能音箱 Advanced,5个/套
21,9,3425.04,1,0.05,小米 智能手环 Mini,1台/件
22,2,6194.07,5,0.05,三星 智能门锁 Advanced,2个/包
23,2,6268.55,3,0.0,三星 智能门锁 Advanced,2个/包
23,3,6972.98,18,0.05,博世 智能音箱 Advanced,2个/包
23,7,6302.63,10,0.1,苹果 智能门锁 Elite,5个/套
23,9,3479.44,10,0.0,小米 智能手环 Mini,1台/件
24,3,6867.24,15,0.15,博世 智能音箱 Advanced,2个/包
24,9,3349.79,15,0.0,小米 智能手环 Mini,1台/件
